dataset,seed,method,ensemble_type,ensemble_size,ensemble_unique_size,nll_test,c1,c2,epi_scalar,path,metadata_version,MC Aleatoric Mean,MC Epistemic Mean,MC Total Mean,P Aleatoric Mean,P Epistemic Mean,P Total Mean
SetFit/mnli,3,pure_logits,greedy_50_post_calib,50,15,0.5007779598236084,1.976976259891712,0.0,1.0,llm_experiments_data/arrays/ftc_setfit_mnli_3_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.4967822730541229,5.000686087441863e-07,0.4967827796936035,0.4967784583568573,5.223338983562087e-10,0.4967784583568573
imdb,4,pure_logits,greedy_50_post_calib,50,21,0.1289136707782745,0.995585172844648,1.0329029571012078,1.0,llm_experiments_data/arrays/imdb_4_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.08451876044273376,0.018336087465286255,0.10285485535860062,0.03190487623214722,0.07094433903694153,0.10284920781850815
imdb,4,pure_logits,greedy_50_post_calib,50,14,0.1013088077306747,1.4192086630570595,0.6097459391920034,1.0,llm_experiments_data/arrays/ftc_imdb_4_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.07752057909965515,0.006304577458649874,0.08382515609264374,0.06061239168047905,0.02321065030992031,0.08382304757833481
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_50_post_calib,50,26,0.4880893230438232,1.1117367763431902,0.9579341940857976,1.0,llm_experiments_data/arrays/mteb_tweet_sentiment_extraction_4_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.4331280589103699,0.0665978267788887,0.499725878238678,0.23534037172794342,0.26445186138153076,0.499792218208313
mteb/tweet_sentiment_extraction,4,pure_logits,greedy_50_post_calib,50,21,0.4618021249771118,1.474985422740525,0.5897542690545606,1.0,llm_experiments_data/arrays/ftc_mteb_tweet_sentiment_extraction_4_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.45238497853279114,0.021613920107483864,0.47399887442588806,0.39799606800079346,0.07601507008075714,0.4740111231803894
ag_news,4,pure_logits,greedy_50_post_calib,50,29,0.1878871023654937,1.6783007080383174,0.7097042898792171,1.0,llm_experiments_data/arrays/ag_news_4_pure_logits_greedy_50_post_calib_2025-04-20.npz,mini,0.17351289093494415,0.00984642468392849,0.1833593100309372,0.12678872048854828,0.05655022710561752,0.1833389401435852
ag_news,4,pure_logits,greedy_50_post_calib,50,22,0.1433628350496292,1.535360266555602,0.4897959183673469,1.0,llm_experiments_data/arrays/ftc_ag_news_4_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.1335221827030182,0.00240233913064003,0.13592451810836792,0.12295585125684738,0.012954510748386383,0.13591036200523376
dbpedia_14,4,pure_logits,greedy_50_post_calib,50,12,0.0288055930286645,1.7397251145356103,0.6247396917950854,1.0,llm_experiments_data/arrays/ftc_dbpedia_14_4_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.02928326278924942,0.0002452711050864309,0.029528532177209854,0.02626907266676426,0.0031241788528859615,0.029393253847956657
stanfordnlp/sst2,4,pure_logits,greedy_50_post_calib,50,25,0.1246960908174514,1.5611495210329032,0.6997084548104957,1.0,llm_experiments_data/arrays/stanfordnlp_sst2_4_pure_logits_greedy_50_post_calib_2025-04-24.npz,mini,0.11997207254171371,0.015710603445768356,0.13568267226219177,0.08048620074987411,0.05519484728574753,0.13568104803562164
stanfordnlp/sst2,4,pure_logits,greedy_50_post_calib,50,22,0.1040479019284248,1.6707038733860893,0.6047480216576426,1.0,llm_experiments_data/arrays/ftc_stanfordnlp_sst2_4_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.10370108485221863,0.007269848138093948,0.11097092926502228,0.08420657366514206,0.026758402585983276,0.11096499860286713
SetFit/mnli,4,pure_logits,greedy_50_post_calib,50,22,0.3469719290733337,1.8826155768429824,0.519783423573511,1.0,llm_experiments_data/arrays/setfit_mnli_4_pure_logits_greedy_50_post_calib_2025-04-24.npz,mini,0.33172473311424255,0.018330518156290054,0.3500552773475647,0.28371167182922363,0.0663430318236351,0.35005471110343933
SetFit/mnli,4,pure_logits,greedy_50_post_calib,50,13,0.4961307346820831,1.976976259891712,0.0,1.0,llm_experiments_data/arrays/ftc_setfit_mnli_4_pure_logits_greedy_50_post_calib_2025-04-25.npz,extended,0.4981788396835327,4.998200893169269e-07,0.49817928671836853,0.4981750249862671,-1.660085124921551e-10,0.4981750249862671
